Termine IT,Termine EN,Termine FR,Termine DE,Categoria,Note Uso,Termini Vietati,Contesto
"lana Merino Superfine 17 micron","17 micron Merino Superfine wool","laine Mérinos Superfine 17 microns","17 Mikron Merino Superfine Wolle",Tecnico,Sempre specificare il micronaggio. Mai abbreviare.,"fine merino, soft merino, regular merino",Descrizioni prodotto e contenuti tecnici
"taglio e cucito","cut & sewn","coupé-cousu","geschnitten und genäht",Tecnico,Sempre enfatizzare come superiore al seamless,"seamless (come alternativa positiva)",Differenziazione prodotto
"comfort climatico","temperature regulation / climate comfort","confort climatique","Klimakomfort",Tecnico,"Usare per descrivere termoregolazione naturale","weather comfort, thermal comfort",Benefici prodotto
"traspirante","breathable","respirant","atmungsaktiv",Tecnico,Standard per tutti i mercati,"porous, airy, ventilated",Caratteristiche tecniche
"lana fresca","lightweight wool","laine légère","leichte Wolle",Tecnico,⚠️ ATTENZIONE: mai tradurre letteralmente!,"fresh wool (VIETATO!)","Descrizioni estive, leggerezza"
"gestione dell'umidità","moisture-wicking / moisture management","gestion de l'humidité","Feuchtigkeitsmanagement",Tecnico,Preferire moisture-wicking per mercato US,"sweat control, anti-sweat",Performance e sport
"anti-odore","odor-resistant / anti-odor","anti-odeur","geruchshemmend",Tecnico,Enfatizzare la naturalità (non chimico),"smell-proof, deodorant",Multi-day wear
"artigianalità italiana","Italian craftsmanship","savoir-faire artisanal italien","italienische Handwerkskunst",Brand,Core brand message - mai sminuire,"Italian-made, made in Italy (troppo generico)",Heritage e qualità
"morbidezza","softness / next-to-skin comfort","douceur","Weichheit",Sensoriale,Preferire next-to-skin comfort per contesto tecnico,"smooth, silky (troppo generico)",Comfort e sensazione
"fibra naturale rinnovabile","natural renewable fiber","fibre naturelle renouvelable","natürliche erneuerbare Faser",Sostenibilità,Sempre nel contesto sostenibilità,"eco-friendly (troppo vago)",Messaging sostenibilità
"Albeni 1905","Albeni 1905","Albeni 1905","Albeni 1905",Brand,Mai tradurre - nome proprio,Qualsiasi variazione,Sempre
"qualità premium","premium quality","qualité premium","Premium-Qualität",Brand,Usare con parsimonia - preferire mostrare che dichiarare,"luxury, expensive, high-end",Posizionamento
